mouse_id,group,dt,experimental_day,time_sinse_start,drink,eat,eathand,groom,hang,rear,rest,sniff,walk
ef14073df447232d768224845a28e4,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,532,1649,8563,10702,302,1440,71045,13550,57
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,3298,9669,4563,6792,2307,3210,42690,34525,786
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 08:00:00,0,0 days 23:00:00.000000000,0,0,106,1006,0,0,105449,1279,0
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
ef14073df447232d768224845a28e4,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 09:00:00,1,1 days 00:00:00.000000000,,,,,,,,,
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,595,2083,14032,31300,2300,1305,37012,18975,238
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,0,1,1176,544,0,0,102255,3864,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,696,8812,3499,12843,1569,2237,45557,32285,342
ef14073df447232d768224845a28e4,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,284,14693,6873,5213,6131,2170,51331,20824,321
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,28,74,597,8075,0,100,89171,9795,0
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 10:00:00,1,1 days 01:00:00.000000000,0,0,0,1308,0,0,106027,505,0
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,167,912,11676,10831,85,124,65493,18534,18
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,0,0,210,51,0,0,105362,2217,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,5,2,0,14161,0,46,90773,2853,0
ef14073df447232d768224845a28e4,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,0,1051,889,15969,0,22,82743,7098,68
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,515,8839,5164,4237,711,1179,55837,30980,378
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 11:00:00,1,1 days 02:00:00.000000000,296,10480,1284,14097,2093,816,68860,9596,318
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,0,0,268,7155,0,0,98829,1588,0
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,1208,2970,3887,16681,502,1206,37524,43711,151
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,591,457,142,22418,0,0,81037,3195,0
ef14073df447232d768224845a28e4,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,0,6240,1455,29763,635,487,56291,12916,53
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,10,63,387,2288,0,0,100962,4130,0
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 12:00:00,1,1 days 03:00:00.000000000,197,6004,457,23800,1245,817,58189,16627,504
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,0,4,3491,10691,0,0,90257,3397,0
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,0,0,3,69,0,0,105124,2644,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,667,9969,1426,14660,1481,1827,59096,18340,374
ef14073df447232d768224845a28e4,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,0,0,50,5947,0,5,100161,1677,0
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,244,6078,7511,15215,687,1246,47980,28466,413
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 13:00:00,1,1 days 04:00:00.000000000,0,212,0,24722,0,0,82221,685,0
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,0,253,11524,24546,0,143,66278,5080,16
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,0,0,0,3383,0,0,94497,9960,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,32,147,2,1707,0,40,104041,1851,20
ef14073df447232d768224845a28e4,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,1,6683,7211,21013,35,187,69187,3485,38
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,25,12882,1429,2107,0,220,84112,6894,171
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 14:00:00,1,1 days 05:00:00.000000000,0,1,0,2088,0,0,105337,414,0
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 15:00:00,1,1 days 06:00:00.000000000,871,2764,8026,21160,3276,1080,46574,23833,256
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 15:00:00,1,1 days 06:00:00.000000000,26,0,0,4452,0,99,90734,12529,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 15:00:00,1,1 days 06:00:00.000000000,742,9717,2456,27338,1434,1603,40712,23541,297
ef14073df447232d768224845a28e4,A,2018-08-08 15:00:00,1,1 days 06:00:00.000000000,0,229,1320,4099,0,5,100886,1301,0
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 15:00:00,1,1 days 06:00:00.000000000,487,308,212,6533,594,515,84698,14322,171
